channel,id,name,alt_names,is_main,broadcast_area,timezones,languages,format
21JumpStreet.us,SD,SD,,TRUE,c/US,America/New_York;America/Chicago;America/Denver;America/Los_Angeles,eng,1080p
48Hours.us,US,US,,TRUE,c/US,America/New_York,eng,1080i
4KUniverse.us,SD,SD,,TRUE,c/US,America/Santiago,eng,1080p
50CentAction.us,SD,SD,,TRUE,c/US,America/New_York,eng,1080p
ActionMax.us,EastHD,East HD,,FALSE,c/US,America/New_York,eng;spa,1080i
ActionMax.us,WestHD,West HD,,FALSE,c/US,America/Los_Angeles,eng,1080i
AE.us,EastHD,East HD,,FALSE,c/US;c/CA,America/New_York,eng,1080p
AE.us,WestHD,West HD,,FALSE,c/US,America/Los_Angeles,eng,1080p
AMC.us,EastHD,East HD,,TRUE,c/US,America/New_York,eng,1080i
AMC.us,WestHD,West HD,,FALSE,c/US,America/Los_Angeles,eng,1080p
AnimalPlanet.us,EastHD,East HD,,FALSE,c/US,America/New_York,eng,1080i
AnimalPlanet.us,WestHD,West HD,,FALSE,c/US,America/Los_Angeles,eng,1080i
AnimationPlus.us,SD,SD,,TRUE,c/US;c/CA,America/New_York,eng,1080p
AnimexHIDIVE.us,SD,SD,,TRUE,c/US,America/New_York,eng,1080p
AsianCultureTV.us,HD,HD,,TRUE,c/US,America/New_York,eng,1080p
BBCAmerica.us,EastHD,East HD,,FALSE,c/US,America/New_York,eng,1080i
BBCAmerica.us,WestHD,West HD,,FALSE,c/US,America/Los_Angeles,eng,1080i
BBCDrama.uk,US,US,,FALSE,c/US,America/New_York,eng,1080p
BeachTVTalkingPoints.us,TalkingPointsHD,Talking Points HD,,TRUE,c/US,America/Los_Angeles,eng,1080p
BloombergOriginals.us,US,US,,TRUE,c/US,America/New_York,eng,1080p
BlueMountainTelevision.us,HD,HD,,TRUE,c/US,America/New_York,eng,1080i
CartoonNetwork.us,HDEast,HD East,,FALSE,c/US,America/New_York,eng;spa,1080i
CartoonNetwork.us,HDWest,HD West,,FALSE,c/US,America/Los_Angeles,eng;spa;por,1080i
CelebrityNameGame.us,SD,SD,,TRUE,c/US,America/New_York,eng,1080p
Cinemax.us,HDEast,HD East,,FALSE,c/US,America/New_York,eng;spa,1080i
Cinemax.us,HDWest,HD West,,FALSE,c/US,America/Los_Angeles,eng;spa,1080i
CinemaxAction.us,EastHD,East HD,,FALSE,c/US,America/New_York,eng;spa,1080i
CinemaxAction.us,WestHD,West HD,,FALSE,c/US,America/Los_Angeles,eng;spa,1080i
CinemaxClassics.us,EastHD,East HD,,FALSE,c/US,America/New_York,eng,1080i
CinemaxHits.us,EastHD,East HD,,FALSE,c/US,America/New_York,eng;spa,1080i
CinemaxHits.us,WestHD,West HD,,FALSE,c/US,America/Los_Angeles,eng;spa,1080i
CNBC.us,HD,HD,,FALSE,c/US,America/New_York,eng,1080p
CNNHeadlines.us,SD,SD,,TRUE,c/US,America/New_York,eng,1080p
CNNOriginals.us,SD,SD,,TRUE,c/US,America/New_York,eng,1080p
Crunchyroll.us,SD,SD,,TRUE,c/US,America/Los_Angeles,eng;jap,1080p
CuriosityNOW.de,EN,EN,US;english,FALSE,c/US,America/New_York,eng,1080p
DaystarReflections.us,YouTube,YouTube,,TRUE,c/US,America/New_York,eng,1080p
Declassified.ca,SD,SD,,TRUE,c/US;c/CA,America/Toronto,eng,1080p
DesignatedSurvivor.us,SD,SD,,TRUE,c/US,America/New_York,eng,1080p
DocumentaryPlus.us,US,US,,TRUE,c/US,America/New_York,eng,1080p
EarthDay365.ca,SD,SD,,TRUE,c/US;c/UK;c/IE,America/New_York,eng,1080p
EarthxTV.us,HD,HD,,FALSE,c/US,America/Chicago,eng,1080i
EbonyTVbyLionsgate.us,SD,SD,,TRUE,c/US,America/New_York,eng,1080p
EKeepingUp.us,SD,SD,,TRUE,c/US,America/New_York,eng,1080p
ElevationChurchNetwork.us,HD,HD,,TRUE,c/US,America/New_York,eng,1080p
ErieNewsNowPlus.us,HD,HD,,TRUE,c/US,America/New_York,eng,1080i
ExtremeJobs.us,SD,SD,,TRUE,c/US,America/New_York,eng,1080p
F1Channel.ie,US,US,,TRUE,c/US,America/New_York,eng,1080p
FilAmTVNetwork.us,HD,HD,,TRUE,c/US;c/PH,America/New_York,eng;tgl,1080p
FilmRiseAnime.us,SD,SD,,TRUE,c/US;c/CA,America/New_York,eng;jap,1080p
FuboSportsNetwork.us,HD,HD,,FALSE,c/US,America/New_York,eng,1080p
FX.us,EastHD,East HD,,FALSE,c/US,America/New_York,eng,1080p
FX.us,WestHD,West HD,,FALSE,c/US,America/Los_Angeles,eng,1080p
FXMovieChannel.us,HD,HD,,FALSE,c/US,America/Santiago,spa;eng,1080p
FXX.us,EastHD,East HD,,FALSE,c/US,America/New_York,eng,1080p
FXX.us,WestHD,West HD,,FALSE,c/US,America/Los_Angeles,eng,1080p
GameLoop.us,HD,HD,,TRUE,c/US,America/New_York,eng,1080p
GoodNewsTV.us,HD,HD,,TRUE,c/US,America/New_York,eng,1080i
HallmarkFamily.us,SD,SD,,TRUE,c/US,America/Los_Angeles,eng,1080p
HBO2.us,EastHD,East HD,,FALSE,c/US,America/New_York,eng;spa,1080i
HBO2.us,WestHD,West HD,,FALSE,c/US,America/Los_Angeles,eng;spa,1080i
HBOHits.us,EastHD,East HD,,FALSE,c/US,America/New_York,eng;spa,1080i
HBOHits.us,WestHD,West HD,,FALSE,c/US,America/Los_Angeles,eng;spa,1080i
HerSphere.us,SD,SD,,TRUE,c/US,America/New_York,eng,1080p
HGTV.us,EastHD,East HD,,FALSE,c/US,America/New_York,eng,1080i
HGTV.us,WestHD,West HD,,FALSE,c/US,America/Los_Angeles,eng,1080i
Homeful.ca,US,US,,FALSE,c/US,America/New_York,eng,1080p
InTouchPlus.us,HD,HD,,TRUE,c/US,America/New_York,eng,1080p
JoelOsteenNetwork.us,HD,HD,,TRUE,c/US,America/New_York,eng,1080p
KungFuMovies.us,HD,HD,,TRUE,c/US,America/New_York,eng,1080p
LasVegasTonightwithDaleDavidson.us,HD,HD,,TRUE,c/US,America/New_York,eng,1080p
LatinoChannelTV.us,HD,HD,,TRUE,c/US,America/New_York,eng,1080p
Lawless.us,SD,SD,,TRUE,c/US,America/New_York,eng,1080p
LocalNewsLive.us,HD,HD,,TRUE,c/US,America/New_York,eng,1080i
LovePets.ca,US,US,,TRUE,c/US,America/New_York,eng,1080p
LoveThyNeighbor.us,SD,SD,,TRUE,c/US,America/New_York,eng,1080p
MGMPlus.us,EastHD,East HD,,FALSE,c/US,America/New_York,eng;spa,1080i
MGMPlus.us,WestHD,West HD,,FALSE,c/US,America/Los_Angeles,eng;spa,1080i
MGMPlusHits.us,EastHD,East HD,,FALSE,c/US,America/New_York,eng;spa,1080i
MGMPlusHits.us,WestHD,West HD,,FALSE,c/US,America/Los_Angeles,eng;spa,1080i
MoreMax.us,EastHD,East HD,,FALSE,c/US,America/New_York,eng;spa,1080i
MoreMax.us,WestHD,West HD,,FALSE,c/US,America/Los_Angeles,eng;spa,1080i
MovieSphere.us,US,US,,TRUE,c/US,America/New_York,eng,1080p
MSNBC.us,HD,HD,,TRUE,c/US,America/New_York,eng,1080i
NashBridges.us,SD,SD,,TRUE,c/US;c/CA,America/New_York,eng,1080p
Nashville.us,SD,SD,,TRUE,c/US,America/New_York,eng,1080p
NationalGeographic.us,HDEast,HD East,,FALSE,c/US,America/New_York,eng,1080i
NationalGeographicWild.us,HDEast,HD East,,FALSE,c/US,America/New_York,eng,1080i
NBCComedyVault.us,SD,SD,,TRUE,c/US,America/New_York,eng,1080p
NBCLXHome.us,HD,HD,,TRUE,c/US,America/New_York,eng,1080p
NBCNewsNOW.us,HD,HD,,FALSE,c/US;c/UK,America/New_York,eng,1080i
NBCSportsNOW.us,SD,SD,,TRUE,c/US,America/New_York,eng,1080p
NewsoftheWorld.us,USA,USA,NOW USA,FALSE,c/US,America/New_York,eng,1080p
Nickelodeon.us,EastHD,East HD,,FALSE,c/US,America/New_York,eng,1080p
Nickelodeon.us,WestHD,West HD,,FALSE,c/US,America/Los_Angeles,eng,1080p
NickJr.us,EastHD,East HD,,FALSE,c/US,America/New_York,eng,1080p
NickJr.us,WestHD,West HD,,FALSE,c/US,America/Los_Angeles,eng,1080p
NorCastWeather.us,HD,HD,,TRUE,c/US,America/New_York,eng,1080p
OutdoorChannel.us,HD,HD,,FALSE,c/US;c/CA,America/Denver,eng,1080i
OuterSphere.us,SD,SD,,TRUE,c/US,America/New_York,eng,1080p
PacificIslandNetwork.us,HD,HD,,TRUE,c/US,America/New_York,eng,1080p
PBSRetro.us,SD,SD,,TRUE,c/US,America/New_York,eng,1080p
PBSTravel.us,SD,SD,,TRUE,c/US;c/CA,America/New_York,eng,1080p
PeachtreeSportsNetwork.us,WPCHHD,WPCH-HD,,FALSE,c/US,America/New_York,eng,1080i
PenthousePassion.us,HD,HD,,FALSE,c/US,America/Santiago,eng,1080i
PickleballTV.us,HD,HD,,TRUE,c/US,America/New_York,eng,1080p
Placid.us,EastHD,East HD,,TRUE,c/US,America/New_York,eng,1080p
PoconoTelevisionNetwork.us,HD,HD,,TRUE,c/US,America/New_York,eng,1080p
RedBullTV.at,US,US,,FALSE,c/US;c/CA,America/New_York,eng,1080p
RipCityTelevisionNetwork.us,HD,HD,,TRUE,c/US,America/New_York,eng,1080i
RVTV.us,HD,HD,,TRUE,c/US,America/New_York,eng,1080p
SCorbyTV.us,HD,HD,,TRUE,c/US,America/New_York,eng,1080p
SFree.us,HD,HD,,TRUE,c/US,America/New_York,eng,1080p
ShauntheSheepFriends.uk,US,US,,TRUE,c/US,America/New_York,eng,1080p
ShemarooBollywood.us,US,US,,FALSE,c/US,America/New_York,eng,1080i
SMetroTV.us,HD,HD,,TRUE,c/US,America/New_York,eng,1080p
SNLVault.us,SD,SD,,TRUE,c/US,America/New_York,eng,1080p
SPlayEvent.us,HD,HD,,TRUE,c/US,America/New_York,eng,1080p
SPremium.us,HD,HD,,FALSE,c/US,America/New_York,eng,1080p
StoriesbyAMC.us,HD,HD,DRM,FALSE,c/US,America/New_York,eng,1080p
StrykTV.us,HD,HD,,TRUE,c/US,America/Chicago,eng,1080p
STV.us,HD,HD,,TRUE,c/US,America/New_York,eng,1080p
TCT.us,WSPFCD,WSPF-CD,,FALSE,c/US,America/New_York,eng,1080i
TDAmeritradeNetwork.us,SD,SD,,TRUE,c/US,America/New_York,eng,1080i
Telemundo.us,EastHD,East HD,,FALSE,c/US,America/New_York,eng,1080p
Telemundo.us,WestHD,West HD,,FALSE,c/US,America/Los_Angeles,eng,1080p
TheConners.us,SD,SD,,TRUE,c/US;c/CA,America/New_York,eng,1080p
TheDoctors.us,HD,HD,,TRUE,c/US,America/New_York,eng,1080p
ThePinkPanther.us,SD,SD,,TRUE,c/US,America/New_York,eng,1080p
TheSpotArizona61.us,HD,HD,,TRUE,c/US,America/New_York,eng,1080i
TheWendyWilliamsShow.us,SD,SD,,TRUE,c/US,America/New_York,eng,1080p
ThrillerMax.us,EastHD,East HD,,FALSE,c/US,America/New_York,eng,1080i
ThrillerMax.us,WestHD,West HD,,FALSE,c/US,America/Los_Angeles,eng,1080i
TVW.us,HD,HD,,TRUE,c/US,America/New_York,eng,1080i
Univision.us,EastHD,East HD,,FALSE,c/US,America/New_York,eng,1080p
Univision.us,WestHD,West HD,,FALSE,c/US,America/Los_Angeles,eng,1080p
VegasLifeTV.us,HD,HD,,TRUE,c/US;c/PH,America/New_York,eng;tgl,1080p
WeedsNurseJackie.us,SD,SD,,TRUE,c/US,America/New_York,eng,1080p
WillowSports.us,SD,SD,,TRUE,c/US;c/CA,America/Los_Angeles,eng,1080p
WineWatchesWhiskey.us,HD,HD,,TRUE,c/US,America/New_York,eng,1080p
WorldChannel.us,WMABTV,WMAB-TV,,FALSE,c/US,America/New_York,eng,1080i
XITE60s70sGroove.nl,US,US,,TRUE,c/US,America/New_York,eng,1080p
XITE90sThrowback.us,SD,SD,,TRUE,c/US;c/CA,America/New_York,eng,1080p
XITECelebrates.us,SD,SD,,TRUE,c/US;c/CA,America/New_York,eng,1080p
XITEClassicCountry.nl,SD,SD,,TRUE,c/US,America/New_York,eng,1080p
XITEHipHopEvolution.us,SD,SD,,TRUE,c/US;c/CA,America/New_York,eng,1080p
XITEHits.nl,US,US,,FALSE,c/US;c/CA,America/New_York,eng,1080p
XITEJustChill.nl,US,US,,TRUE,c/US,America/New_York,eng,1080p
XITERapGame.us,SD,SD,,TRUE,c/US;c/CA,America/New_York,eng,1080p
XITERBFeels.us,SD,SD,,TRUE,c/US;c/CA,America/New_York,eng,1080p
XITERockxMetal.nl,US,US,,TRUE,c/US,America/New_York,eng,1080p
YouTubeTVZen.us,HD,HD,,TRUE,c/US,America/New_York,eng,1080p
ZeeTVUSA.us,HD,HD,,FALSE,c/US,America/New_York,eng,1080i
