channel,id,name,alt_names,is_main,broadcast_area,timezones,languages,format
00sReplay.us,SD,SD,,TRUE,c/US,America/Los_Angeles,eng,720p
21JumpStreet.us,SD,SD,,TRUE,c/US,America/New_York;America/Chicago;America/Denver;America/Los_Angeles,eng,1080p
45TV.us,HD,HD,,TRUE,c/US,America/New_York,eng,720p
48Hours.us,US,US,,TRUE,c/US,America/New_York,eng,1080i
4KUniverse.us,SD,SD,,TRUE,c/US,America/Santiago,eng,1080p
50CentAction.us,SD,SD,,TRUE,c/US,America/New_York,eng,1080p
60DaysInbyAE.us,SD,SD,,TRUE,c/US,America/New_York;America/Chicago;America/Denver;America/Los_Angeles,eng,720p
90sKids.us,SD,SD,,TRUE,c/US,America/Los_Angeles,eng,720p
90sKidsTV2.us,SD,SD,,TRUE,c/US,America/Los_Angeles,eng,720p
AcapulcoShore.us,US,US,,FALSE,c/US,America/Los_Angeles,eng,720p
ActionMax.us,EastHD,East HD,,FALSE,c/US,America/New_York,eng;spa,1080i
ActionMax.us,WestHD,West HD,,FALSE,c/US,America/Los_Angeles,eng,1080i
AE.us,EastHD,East HD,,FALSE,c/US;c/CA,America/New_York,eng,1080p
AE.us,WestHD,West HD,,FALSE,c/US,America/Los_Angeles,eng,1080p
AMC.us,EastHD,East HD,,TRUE,c/US,America/New_York,eng,1080i
AMC.us,WestHD,West HD,,FALSE,c/US,America/Los_Angeles,eng,1080p
AmericasNextTopModel.us,SD,SD,,TRUE,c/US,America/Los_Angeles,eng,720p
Amphibia.us,SD,SD,,TRUE,c/US,America/New_York,eng,720p
AnimalPlanet.us,EastHD,East HD,,FALSE,c/US,America/New_York,eng,1080i
AnimalPlanet.us,WestHD,West HD,,FALSE,c/US,America/Los_Angeles,eng,1080i
AnimationPlus.us,SD,SD,,TRUE,c/US;c/CA,America/New_York,eng,1080p
AnimexHIDIVE.us,SD,SD,,TRUE,c/US,America/New_York,eng,1080p
AsianCultureTV.us,HD,HD,,TRUE,c/US,America/New_York,eng,1080p
BattlestarGalactica.us,SD,SD,,TRUE,c/US,America/Los_Angeles,eng,720p
BBCAmerica.us,EastHD,East HD,,FALSE,c/US,America/New_York,eng,1080i
BBCAmerica.us,WestHD,West HD,,FALSE,c/US,America/Los_Angeles,eng,1080i
BBCDrama.uk,US,US,,FALSE,c/US,America/New_York,eng,1080p
BeachTVTalkingPoints.us,TalkingPointsHD,Talking Points HD,,TRUE,c/US,America/Los_Angeles,eng,1080p
